,Output,Time
0,1,2018-06-03 07:04:40
1,0,2018-06-03 07:04:40
2,0,2018-06-03 07:04:40
3,1,2018-06-03 07:04:40
4,0,2018-06-03 07:04:40
5,0,2018-06-03 07:04:40
6,0,2018-06-03 07:04:40
7,0,2018-06-03 07:04:40
8,1,2018-06-03 07:04:40
9,0,2018-06-03 07:04:40
10,0,2018-06-03 07:04:40
11,0,2018-06-03 07:04:40
12,0,2018-06-03 07:04:40
13,0,2018-06-03 07:04:40
14,1,2018-06-03 07:04:40
15,1,2018-06-03 07:04:40
16,0,2018-06-03 07:04:40
17,1,2018-06-03 07:04:40
18,0,2018-06-03 07:04:40
19,1,2018-06-03 07:04:40
20,0,2018-06-03 07:04:40
21,0,2018-06-03 07:04:40
22,0,2018-06-03 07:04:40
23,0,2018-06-03 07:04:40
24,0,2018-06-03 07:04:40
25,0,2018-06-03 07:04:40
26,0,2018-06-03 07:04:40
27,0,2018-06-03 07:04:40
28,0,2018-06-03 07:04:40
29,1,2018-06-03 07:04:40
30,0,2018-06-03 07:04:40
31,1,2018-06-03 07:04:40
32,0,2018-06-03 07:04:40
33,1,2018-06-03 07:04:40
34,0,2018-06-03 07:04:40
35,1,2018-06-03 07:04:40
36,1,2018-06-03 07:04:40
37,1,2018-06-03 07:04:40
38,0,2018-06-03 07:04:40
39,1,2018-06-03 07:04:40
40,0,2018-06-03 07:04:40
41,1,2018-06-03 07:04:40
42,0,2018-06-03 07:04:40
43,1,2018-06-03 07:04:40
44,0,2018-06-03 07:04:40
45,1,2018-06-03 07:04:40
46,1,2018-06-03 07:04:40
47,1,2018-06-03 07:04:40
48,0,2018-06-03 07:04:40
49,0,2018-06-03 07:04:40
50,1,2018-06-03 07:04:40
51,0,2018-06-03 07:04:40
52,0,2018-06-03 07:04:40
53,0,2018-06-03 07:04:40
54,0,2018-06-03 07:04:40
55,0,2018-06-03 07:04:40
56,0,2018-06-03 07:04:40
57,0,2018-06-03 07:04:40
58,0,2018-06-03 07:04:40
59,1,2018-06-03 07:04:40
60,0,2018-06-03 07:04:40
61,1,2018-06-03 07:04:40
62,0,2018-06-03 07:04:40
63,1,2018-06-03 07:04:40
64,0,2018-06-03 07:04:40
65,0,2018-06-03 07:04:40
66,0,2018-06-03 07:04:40
67,0,2018-06-03 07:04:40
68,1,2018-06-03 07:04:40
69,0,2018-06-03 07:04:40
70,1,2018-06-03 07:04:40
71,0,2018-06-03 07:04:40
72,0,2018-06-03 07:04:40
73,1,2018-06-03 07:04:40
74,0,2018-06-03 07:04:40
75,0,2018-06-03 07:04:40
76,0,2018-06-03 07:04:40
77,0,2018-06-03 07:04:40
78,0,2018-06-03 07:04:40
79,1,2018-06-03 07:04:40
80,1,2018-06-03 07:04:40
81,0,2018-06-03 07:04:40
82,0,2018-06-03 07:04:40
83,1,2018-06-03 07:04:40
84,0,2018-06-03 07:04:40
85,1,2018-06-03 07:04:40
86,0,2018-06-03 07:04:40
87,0,2018-06-03 07:04:40
88,1,2018-06-03 07:04:40
89,0,2018-06-03 07:04:40
90,0,2018-06-03 07:04:40
91,0,2018-06-03 07:04:40
